CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
09612655000195;POSTO SATURNO;DISTRITO DE SERROTA,S/Nº;;ZONA RURAL;SENADOR SA;CE;Diesel S500;3,699;03/08/2018 13:26
10157722000108;ROTA 116;RUA ALEXANDRE DE GUSMAO,1455;;ESTANCIA VELHA;CANOAS;RS;Gasolina C Comum;4,769;08/10/2018 16:41
10157722000108;ROTA 116;RUA ALEXANDRE DE GUSMAO,1455;;ESTANCIA VELHA;CANOAS;RS;Diesel S500;3,589;08/10/2018 16:41
10254592000121;POSTO DE VILLE;RUA JOAO BOSCO MARQUES DE SOUSA,556;;GATO PRETO;SOUSA;PB;Gasolina C Comum;4,599;04/09/2018 09:09
10254592000121;POSTO DE VILLE;RUA JOAO BOSCO MARQUES DE SOUSA,556;;GATO PRETO;SOUSA;PB;Diesel S10;3,799;04/09/2018 09:09
10269693000176;AUTO POSTO PAMPA;AVENIDA PRESIDENTE VARGAS,643;;VILA ARAUJO;PASSO FUNDO;RS;Gasolina C Comum;4,759;25/09/2018 08:35
10269693000176;AUTO POSTO PAMPA;AVENIDA PRESIDENTE VARGAS,643;;VILA ARAUJO;PASSO FUNDO;RS;Diesel S10;3,499;25/09/2018 08:35
10523358000152;AUTO POSTO SAO SEBASTIAO;AVENIDA SILVIANO BRANDAO,662;;FLORESTA;BELO HORIZONTE;MG;Gasolina C Comum;4,568;30/05/2019 08:05
10523358000152;AUTO POSTO SAO SEBASTIAO;AVENIDA SILVIANO BRANDAO,662;;FLORESTA;BELO HORIZONTE;MG;Etanol;2,798;30/05/2019 08:05
10549635000104;AUTO POSTO COLONIAL;AVENIDA MANOEL RUZ PERES,2550;;JARDIM HUBERT;INDAIATUBA;SP;Gasolina C Comum;4,099;16/10/2019 14:07
10549635000104;AUTO POSTO COLONIAL;AVENIDA MANOEL RUZ PERES,2550;;JARDIM HUBERT;INDAIATUBA;SP;Etanol;2,749;16/10/2019 11:49
10549635000104;AUTO POSTO COLONIAL;AVENIDA MANOEL RUZ PERES,2550;;JARDIM HUBERT;INDAIATUBA;SP;Diesel S10;3,749;16/10/2019 11:49
10557748000143;AUTO POSTO ROTA RADIAL LTDA;RUA PIRATININGA,1017;;BRAS;SAO PAULO;SP;Gasolina C Comum;3,989;26/07/2018 20:06
10557748000143;AUTO POSTO ROTA RADIAL LTDA;RUA PIRATININGA,1017;;BRAS;SAO PAULO;SP;Etanol;2,249;26/07/2018 20:06
10750422000138;POSTO PONTO CERTO;AVENIDA GOV. FERNANDO GUILHON,1300;;SAO LUIZ II;CONCEICAO DO ARAGUAIA;PA;Gasolina C Comum;505;13/05/2019 16:43
10750422000138;POSTO PONTO CERTO;AVENIDA GOV. FERNANDO GUILHON,1300;;SAO LUIZ II;CONCEICAO DO ARAGUAIA;PA;Diesel S500;405;13/05/2019 16:43
10750422000138;POSTO PONTO CERTO;AVENIDA GOV. FERNANDO GUILHON,1300;;SAO LUIZ II;CONCEICAO DO ARAGUAIA;PA;Diesel S10;409;13/05/2019 16:43
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Gasolina C Comum;4,299;12/07/2018 17:28
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Etanol;2,999;12/07/2018 17:28
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Diesel S500;3,399;12/07/2018 17:28
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Diesel S10;3,499;12/07/2018 17:28
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Gasolina C Comum;4,049;08/08/2018 15:00
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Etanol;2,189;08/08/2018 15:00
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Diesel S500;3,129;08/08/2018 15:00
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Diesel S10;3,239;08/08/2018 15:00
11060293000119;POSTO ENSEADA AZUL;AVENIDA MEAIPE,1373;;NOVA GUARAPARI;GUARAPARI;ES;Gasolina C Comum;4,69;04/04/2019 10:52
11060293000119;POSTO ENSEADA AZUL;AVENIDA MEAIPE,1373;;NOVA GUARAPARI;GUARAPARI;ES;Etanol;3,79;04/04/2019 10:52
11060293000119;POSTO ENSEADA AZUL;AVENIDA MEAIPE,1373;;NOVA GUARAPARI;GUARAPARI;ES;Diesel S10;3,87;04/04/2019 10:52
11300950000158;AUTO POSTO JF;AVENIDA JOAO DOMICIANO DA COSTA,902;;PIRAPITINGA;ANDRADAS;MG;Gasolina C Comum;4,799;03/10/2019 12:48
11300950000158;AUTO POSTO JF;AVENIDA JOAO DOMICIANO DA COSTA,902;;PIRAPITINGA;ANDRADAS;MG;Etanol;2,879;01/08/2019 17:31
11300950000158;AUTO POSTO JF;AVENIDA JOAO DOMICIANO DA COSTA,902;;PIRAPITINGA;ANDRADAS;MG;Diesel S500;3,749;03/10/2019 12:48
11300950000158;AUTO POSTO JF;AVENIDA JOAO DOMICIANO DA COSTA,902;;PIRAPITINGA;ANDRADAS;MG;Diesel S10;3,789;03/10/2019 12:48
11307599000127;AUTO POSTO AEROPORTO DE UBATUBA LTDA.;AVENIDA ANTONIO CARLOS RIBEIRO,0;;CENTRO;UBATUBA;SP;Gasolina C Comum;4,179;08/10/2019 17:02
11307599000127;AUTO POSTO AEROPORTO DE UBATUBA LTDA.;AVENIDA ANTONIO CARLOS RIBEIRO,0;;CENTRO;UBATUBA;SP;Etanol;2,769;08/10/2019 17:02
11307599000127;AUTO POSTO AEROPORTO DE UBATUBA LTDA.;AVENIDA ANTONIO CARLOS RIBEIRO,0;;CENTRO;UBATUBA;SP;Diesel S10;3,749;08/10/2019 17:02
11337985000161;POSTO PINHEIRENSE CENTRO;RUA DR BARCELOS,868;;CENTRO;PINHEIRO MACHADO;RS;Gasolina C Comum;4,77;14/06/2019 18:20
11337985000161;POSTO PINHEIRENSE CENTRO;RUA DR BARCELOS,868;;CENTRO;PINHEIRO MACHADO;RS;Etanol;4,599;14/06/2019 18:20
11337985000161;POSTO PINHEIRENSE CENTRO;RUA DR BARCELOS,868;;CENTRO;PINHEIRO MACHADO;RS;Diesel S500;3,599;14/06/2019 18:20
11337985000161;POSTO PINHEIRENSE CENTRO;RUA DR BARCELOS,868;;CENTRO;PINHEIRO MACHADO;RS;Diesel S10;3,699;14/06/2019 18:20
11353929000110;POSTO MARE;AVENIDA AVENIDA CENTRAL CONJUNTO 1 HI,SN;SECCAO C 43               PROJECAO 23;NOVO GAMA;NOVO GAMA;GO;Gasolina C Comum;4,659;07/05/2019 15:59
11353929000110;POSTO MARE;AVENIDA AVENIDA CENTRAL CONJUNTO 1 HI,SN;SECCAO C 43               PROJECAO 23;NOVO GAMA;NOVO GAMA;GO;Etanol;2,899;07/05/2019 15:59
11353929000110;POSTO MARE;AVENIDA AVENIDA CENTRAL CONJUNTO 1 HI,SN;SECCAO C 43               PROJECAO 23;NOVO GAMA;NOVO GAMA;GO;Diesel S500;3,599;07/05/2019 15:59
11372676000122;CAMPOS DO JORDÃO AUTO POSTO LTDA.;AVENIDA FREI ORESTES GIRARDI,2057;;VILA ABERNESIA;CAMPOS DO JORDAO;SP;Gasolina C Comum;4,599;08/10/2019 16:53
11372676000122;CAMPOS DO JORDÃO AUTO POSTO LTDA.;AVENIDA FREI ORESTES GIRARDI,2057;;VILA ABERNESIA;CAMPOS DO JORDAO;SP;Etanol;2,949;14/06/2019 10:03
11372676000122;CAMPOS DO JORDÃO AUTO POSTO LTDA.;AVENIDA FREI ORESTES GIRARDI,2057;;VILA ABERNESIA;CAMPOS DO JORDAO;SP;Diesel S500;3,729;08/10/2019 16:53
11372676000122;CAMPOS DO JORDÃO AUTO POSTO LTDA.;AVENIDA FREI ORESTES GIRARDI,2057;;VILA ABERNESIA;CAMPOS DO JORDAO;SP;Diesel S10;3,779;08/10/2019 16:53
11388834000132;AUTO POSTO MONTANA;AVENIDA XV DE NOVEMBRO,1071;;UNIÃO;OURO PRETO DO OESTE;RO;Gasolina C Comum;4,58;24/07/2019 17:31
11388834000132;AUTO POSTO MONTANA;AVENIDA XV DE NOVEMBRO,1071;;UNIÃO;OURO PRETO DO OESTE;RO;Diesel S500;3,88;08/10/2019 09:21
11388834000132;AUTO POSTO MONTANA;AVENIDA XV DE NOVEMBRO,1071;;UNIÃO;OURO PRETO DO OESTE;RO;Diesel S10;3,92;08/10/2019 09:21
11440349000160;POSTO SERRANO;AVENIDA CHANCELER OSVALDO ARANHA,704;;JOSE CONRADO DE ARAUJO;ARACAJU;SE;Gasolina C Comum;4,399;09/07/2019 15:58
11440349000160;POSTO SERRANO;AVENIDA CHANCELER OSVALDO ARANHA,704;;JOSE CONRADO DE ARAUJO;ARACAJU;SE;Etanol;3,48;19/07/2019 16:15
11440349000160;POSTO SERRANO;AVENIDA CHANCELER OSVALDO ARANHA,704;;JOSE CONRADO DE ARAUJO;ARACAJU;SE;Diesel S500;3,649;09/07/2019 15:58
11440349000160;POSTO SERRANO;AVENIDA CHANCELER OSVALDO ARANHA,704;;JOSE CONRADO DE ARAUJO;ARACAJU;SE;Diesel S10;3,699;09/07/2019 15:58
11643823000151;POSTO MARCON;AVENIDA GETULIO DORNELLES VARGAS,2404;N;PASSO DOS FORTES;CHAPECO;SC;Gasolina C Comum;4,449;25/09/2018 09:07
11643823000151;POSTO MARCON;AVENIDA GETULIO DORNELLES VARGAS,2404;N;PASSO DOS FORTES;CHAPECO;SC;Diesel S500;3,399;25/09/2018 09:07
11643823000151;POSTO MARCON;AVENIDA GETULIO DORNELLES VARGAS,2404;N;PASSO DOS FORTES;CHAPECO;SC;Diesel S10;3,469;25/09/2018 09:07
11664743000182;POSTO UNIVERSITÁRIO;RUA FREI GABRIEL,897;TERREO;UNIVERSITARIO;LAGES;SC;Gasolina C Comum;4,269;29/03/2019 17:00
11664743000182;POSTO UNIVERSITÁRIO;RUA FREI GABRIEL,897;TERREO;UNIVERSITARIO;LAGES;SC;Etanol;3,694;29/03/2019 17:00
11664743000182;POSTO UNIVERSITÁRIO;RUA FREI GABRIEL,897;TERREO;UNIVERSITARIO;LAGES;SC;Diesel S500;3,509;29/03/2019 17:00
11664743000182;POSTO UNIVERSITÁRIO;RUA FREI GABRIEL,897;TERREO;UNIVERSITARIO;LAGES;SC;Diesel S10;3,599;29/03/2019 17:00
11664743000182;POSTO UNIVERSITÁRIO;RUA FREI GABRIEL,897;TERREO;UNIVERSITARIO;LAGES;SC;GNV;0,001;29/03/2019 17:00
12031541000166;POSTO HS;RUA JOSE ABEL DE ALMEIDA,SN;LT 02;SETOR RODOVIARIO II;ESTRELA DO NORTE;GO;Gasolina C Comum;4,69;02/02/2019 09:16
12031541000166;POSTO HS;RUA JOSE ABEL DE ALMEIDA,SN;LT 02;SETOR RODOVIARIO II;ESTRELA DO NORTE;GO;Etanol;3,09;02/02/2019 09:16
12031541000166;POSTO HS;RUA JOSE ABEL DE ALMEIDA,SN;LT 02;SETOR RODOVIARIO II;ESTRELA DO NORTE;GO;Diesel S500;3,34;17/02/2019 13:37
12031541000166;POSTO HS;RUA JOSE ABEL DE ALMEIDA,SN;LT 02;SETOR RODOVIARIO II;ESTRELA DO NORTE;GO;Diesel S10;3,65;17/02/2019 13:37
12119665000106;POSTO LEAL;AVENIDA 31 DE MARÇO,15;;CENTRO;BARREIRINHAS;MA;Gasolina C Comum;4,73;28/06/2018 14:37
12119665000106;POSTO LEAL;AVENIDA 31 DE MARÇO,15;;CENTRO;BARREIRINHAS;MA;Diesel S500;3,647;28/06/2018 14:37
12119665000106;POSTO LEAL;AVENIDA 31 DE MARÇO,15;;CENTRO;BARREIRINHAS;MA;Diesel S10;3,715;28/06/2018 14:37
12119665000289;LEAL COMERCIALIZACAO DE DERIVADOS DE PETROLEO LTDA;RUA ANACLETO DE CARVALHO,260;;CRUZEIRO;BARREIRINHAS;MA;Gasolina C Comum;4,65;05/07/2018 15:36
13047383000103;SF COMERCIO DE COMBUSTIVEIS LTDA.;RUA PORTAO,3890;;LAGO AZUL;ESTANCIA VELHA;RS;Gasolina C Comum;4,599;14/07/2018 10:18
13047383000103;SF COMERCIO DE COMBUSTIVEIS LTDA.;RUA PORTAO,3890;;LAGO AZUL;ESTANCIA VELHA;RS;Diesel S500;3,199;14/07/2018 10:18
13047383000103;SF COMERCIO DE COMBUSTIVEIS LTDA.;RUA PORTAO,3890;;LAGO AZUL;ESTANCIA VELHA;RS;Diesel S10;3,299;14/07/2018 10:18
13051606000106;AUTO POSTO 2 IRMAOS;AVENIDA AYRTON SENNA,850;;SETOR 09;BURITIS;RO;Diesel S500;3,62;20/07/2018 17:18
13051606000106;AUTO POSTO 2 IRMAOS;AVENIDA AYRTON SENNA,850;;SETOR 09;BURITIS;RO;Diesel S10;3,72;20/07/2018 17:18
13170895000154;AUTO POSTO UNIAO;RUA 21,S/N;QUADRA 40                 LOTE  13/14;CENTRO;EDEALINA;GO;Gasolina C Comum;4,799;04/10/2018 09:09
13170895000154;AUTO POSTO UNIAO;RUA 21,S/N;QUADRA 40                 LOTE  13/14;CENTRO;EDEALINA;GO;Etanol;2,879;04/10/2018 09:09
13170895000154;AUTO POSTO UNIAO;RUA 21,S/N;QUADRA 40                 LOTE  13/14;CENTRO;EDEALINA;GO;Diesel S500;3,699;04/10/2018 09:09
13170895000154;AUTO POSTO UNIAO;RUA 21,S/N;QUADRA 40                 LOTE  13/14;CENTRO;EDEALINA;GO;Diesel S10;3,799;04/10/2018 09:09
13250823000117;AUTO POSTO DALTIBA;AVENIDA TANCREDO NEVES,1163;ESQUINA C/ AV. CAPITÃO SILVIO;SETOR 01;ARIQUEMES;RO;Gasolina C Comum;3,65;04/07/2018 15:14
13250823000117;AUTO POSTO DALTIBA;AVENIDA TANCREDO NEVES,1163;ESQUINA C/ AV. CAPITÃO SILVIO;SETOR 01;ARIQUEMES;RO;Diesel S500;3,627;04/07/2018 15:14
13250823000117;AUTO POSTO DALTIBA;AVENIDA TANCREDO NEVES,1163;ESQUINA C/ AV. CAPITÃO SILVIO;SETOR 01;ARIQUEMES;RO;Diesel S10;3,661;04/07/2018 15:14
13271809000108;AUTO POSTO J & Y;RODOVIA PA 150,SN;KM 02;UNIVERSIDADE;MOJU;PA;Gasolina C Comum;4,649;29/08/2019 12:47
13271809000108;AUTO POSTO J & Y;RODOVIA PA 150,SN;KM 02;UNIVERSIDADE;MOJU;PA;Diesel S500;3,579;29/08/2019 12:47
13271809000108;AUTO POSTO J & Y;RODOVIA PA 150,SN;KM 02;UNIVERSIDADE;MOJU;PA;Diesel S10;3,649;29/08/2019 12:47
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Gasolina C Comum;4,399;17/09/2019 16:21
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Etanol;2,959;01/10/2019 17:31
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Diesel S500;3,699;16/10/2019 17:37
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Diesel S10;3,769;16/10/2019 17:37
13385797000134;POSTO CIDADE;RUA VITALINO LUIZ,299;TERREO;CENTRO;SAO DOMINGOS;BA;Gasolina C Comum;4,14;14/12/2018 12:26
13385797000134;POSTO CIDADE;RUA VITALINO LUIZ,299;TERREO;CENTRO;SAO DOMINGOS;BA;Etanol;3,18;14/12/2018 12:26
13385797000134;POSTO CIDADE;RUA VITALINO LUIZ,299;TERREO;CENTRO;SAO DOMINGOS;BA;Diesel S500;3,49;14/12/2018 12:26
13579902000176;AUTO POSTO CENTRAL;AVENIDA ANTONIO JAIME BENEVIDES FILHO,656;;CENTRO;MOMBACA;CE;Gasolina C Comum;4,799;30/11/2018 13:10
13579902000176;AUTO POSTO CENTRAL;AVENIDA ANTONIO JAIME BENEVIDES FILHO,656;;CENTRO;MOMBACA;CE;Etanol;3,499;30/11/2018 13:10
13579902000176;AUTO POSTO CENTRAL;AVENIDA ANTONIO JAIME BENEVIDES FILHO,656;;CENTRO;MOMBACA;CE;Diesel S500;3,999;30/11/2018 13:10
13579902000176;AUTO POSTO CENTRAL;AVENIDA ANTONIO JAIME BENEVIDES FILHO,656;;CENTRO;MOMBACA;CE;Diesel S10;4,099;30/11/2018 13:10
13635049000162;POSTO TITAN DE CORBELIA LTDA.;RODOVIA BR 369,S/N;KM 478;OURO VERDE DO PIQUIRI;CORBELIA;PR;Gasolina C Comum;4,09;07/08/2018 15:55
13635049000162;POSTO TITAN DE CORBELIA LTDA.;RODOVIA BR 369,S/N;KM 478;OURO VERDE DO PIQUIRI;CORBELIA;PR;Etanol;2,49;07/08/2018 15:55
13635049000162;POSTO TITAN DE CORBELIA LTDA.;RODOVIA BR 369,S/N;KM 478;OURO VERDE DO PIQUIRI;CORBELIA;PR;Diesel S500;3,06;07/08/2018 15:55
13699899000124;POSTO LIDER;AVENIDA DOUTOR CARLOS SOARES,1050;;CENTRO;VISCONDE DO RIO BRANCO;MG;Gasolina C Comum;4,99;16/05/2019 21:57
13699899000124;POSTO LIDER;AVENIDA DOUTOR CARLOS SOARES,1050;;CENTRO;VISCONDE DO RIO BRANCO;MG;Etanol;3,29;16/05/2019 21:57
13699899000124;POSTO LIDER;AVENIDA DOUTOR CARLOS SOARES,1050;;CENTRO;VISCONDE DO RIO BRANCO;MG;Diesel S10;3,99;16/05/2019 21:57
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Gasolina C Comum;4,769;29/07/2018 20:26
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Etanol;3,599;29/07/2018 20:26
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Diesel S500;3,47;29/07/2018 20:26
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Diesel S10;3,59;29/07/2018 20:26
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Gasolina C Comum;4,579;03/07/2018 15:38
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Etanol;3,999;03/07/2018 15:38
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Diesel S500;3,549;03/07/2018 15:38
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Diesel S10;3,599;03/07/2018 15:38
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Gasolina C Comum;4,219;07/08/2018 16:02
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Etanol;2,699;07/08/2018 16:02
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Diesel S500;3,089;07/08/2018 16:02
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Diesel S10;3,139;07/08/2018 16:02
14967901000161;POSTO NELCI MARIA LOCATELLI E CIA LTDA;AVENIDA TAMANDARE,1572;;VILA ALTO SUMARE;CAMPO GRANDE;MS;Gasolina C Comum;4,09;28/06/2018 16:02
14967901000161;POSTO NELCI MARIA LOCATELLI E CIA LTDA;AVENIDA TAMANDARE,1572;;VILA ALTO SUMARE;CAMPO GRANDE;MS;Etanol;3,197;28/06/2018 16:02
14967901000161;POSTO NELCI MARIA LOCATELLI E CIA LTDA;AVENIDA TAMANDARE,1572;;VILA ALTO SUMARE;CAMPO GRANDE;MS;Diesel S10;3,497;28/06/2018 16:02
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Gasolina C Comum;4,848;08/10/2018 13:48
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Etanol;2,948;08/10/2018 13:48
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Diesel S500;3,656;08/10/2018 13:48
15011160000103;POSTO XINGU;AVENIDA SANTANA,75;;SANTANA;VARGINHA;MG;Diesel S10;3,789;08/10/2018 13:48
15203666000114;AUTO POSTO DINALO E IBRAHIM LTDA;AVENIDA LUCAS NOGUEIRA GARCEZ,370;;JARDIM ESTELA;POA;SP;Gasolina C Comum;4,499;16/08/2018 10:49
15203666000114;AUTO POSTO DINALO E IBRAHIM LTDA;AVENIDA LUCAS NOGUEIRA GARCEZ,370;;JARDIM ESTELA;POA;SP;Etanol;2,599;16/08/2018 10:49
15203666000114;AUTO POSTO DINALO E IBRAHIM LTDA;AVENIDA LUCAS NOGUEIRA GARCEZ,370;;JARDIM ESTELA;POA;SP;Diesel S10;3,499;16/08/2018 10:49
15286573000109;AUTO POSTO CENTRAL;RUA HELENO DE ANDRADE,1154;;SETOR 02;BURITIS;RO;Gasolina C Comum;4,75;27/03/2019 17:32
15286573000109;AUTO POSTO CENTRAL;RUA HELENO DE ANDRADE,1154;;SETOR 02;BURITIS;RO;Diesel S500;3,87;27/03/2019 17:32
15286573000109;AUTO POSTO CENTRAL;RUA HELENO DE ANDRADE,1154;;SETOR 02;BURITIS;RO;Diesel S10;3,98;27/03/2019 17:32
15362541000137;POSTO TUNEL LAVRAS LTDA;RUA OTACILIO NEGRAO DE LIMA,598;;CENTRO;LAVRAS;MG;Diesel S10;3,899;11/07/2019 08:50
15362541000137;POSTO TUNEL LAVRAS LTDA;RUA OTACILIO NEGRAO DE LIMA,598;;CENTRO;LAVRAS;MG;Gasolina C Comum;4,879;11/07/2019 08:50
15362541000137;POSTO TUNEL LAVRAS LTDA;RUA OTACILIO NEGRAO DE LIMA,598;;CENTRO;LAVRAS;MG;Etanol;3,239;11/07/2019 08:50
15362541000137;POSTO TUNEL LAVRAS LTDA;RUA OTACILIO NEGRAO DE LIMA,598;;CENTRO;LAVRAS;MG;Diesel S500;3,839;11/07/2019 08:50
15364302000116;AUTO POSTO SAMAPE;AVENIDA OLIMAR OLIVEIRA RODRIGUES,365;;OVIDIO TEIXEIRA;CAETITE;BA;Gasolina C Comum;4,799;03/04/2019 11:35
15364302000116;AUTO POSTO SAMAPE;AVENIDA OLIMAR OLIVEIRA RODRIGUES,365;;OVIDIO TEIXEIRA;CAETITE;BA;Etanol;3,399;03/04/2019 11:35
15364302000116;AUTO POSTO SAMAPE;AVENIDA OLIMAR OLIVEIRA RODRIGUES,365;;OVIDIO TEIXEIRA;CAETITE;BA;Diesel S500;3,769;03/04/2019 11:35
15364302000116;AUTO POSTO SAMAPE;AVENIDA OLIMAR OLIVEIRA RODRIGUES,365;;OVIDIO TEIXEIRA;CAETITE;BA;Diesel S10;3,869;03/04/2019 11:35
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Gasolina C Comum;4,66;26/09/2019 14:28
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Etanol;3,66;26/09/2019 14:28
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Diesel S500;3,95;26/09/2019 14:28
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Diesel S10;4,06;26/09/2019 14:28
15619911000179;SSJT SERVICO DE AUTO POSTO LTDA;RUA MARECHAL RONDON,113;;VILA BRASILEIRA;ASSIS;SP;Gasolina C Comum;4,199;06/05/2019 11:53
15619911000179;SSJT SERVICO DE AUTO POSTO LTDA;RUA MARECHAL RONDON,113;;VILA BRASILEIRA;ASSIS;SP;Etanol;2,559;06/05/2019 11:53
15619911000179;SSJT SERVICO DE AUTO POSTO LTDA;RUA MARECHAL RONDON,113;;VILA BRASILEIRA;ASSIS;SP;Diesel S10;3,499;06/05/2019 11:53
15680930000100;POSTO BONTORIN;RODOVIA SC 350,6.200;KM 406;RIO BONITO;ITUPORANGA;SC;Diesel S500;3,39;10/07/2019 10:31
15680930000100;POSTO BONTORIN;RODOVIA SC 350,6.200;KM 406;RIO BONITO;ITUPORANGA;SC;Diesel S10;3,49;10/07/2019 10:31
15680930000100;POSTO BONTORIN;RODOVIA SC 350,6.200;KM 406;RIO BONITO;ITUPORANGA;SC;Gasolina C Comum;3,97;12/09/2019 09:32
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Gasolina C Comum;4,769;28/06/2018 12:59
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Etanol;3,999;28/06/2018 12:59
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Diesel S500;3,629;28/06/2018 12:59
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Diesel S10;3,689;28/06/2018 12:59
16045015000106;POSTO TERERE;AVENIDA AFONSO PENA,5264;;CHACARA CACHOEIRA;CAMPO GRANDE;MS;Gasolina C Comum;4,096;12/09/2019 16:19
16045015000106;POSTO TERERE;AVENIDA AFONSO PENA,5264;;CHACARA CACHOEIRA;CAMPO GRANDE;MS;Etanol;3,296;12/09/2019 16:19
16045015000106;POSTO TERERE;AVENIDA AFONSO PENA,5264;;CHACARA CACHOEIRA;CAMPO GRANDE;MS;Diesel S10;3,696;12/09/2019 16:19
16709473000100;POSTO LAGOA FUNDA;FAZENDA POVOADO LAGOA FUNDA,80;LOTE;ZONA RURAL;BRUMADO;BA;Gasolina C Comum;4,759;20/03/2019 12:39
16709473000100;POSTO LAGOA FUNDA;FAZENDA POVOADO LAGOA FUNDA,80;LOTE;ZONA RURAL;BRUMADO;BA;Diesel S500;3,499;20/03/2019 12:39
16709473000100;POSTO LAGOA FUNDA;FAZENDA POVOADO LAGOA FUNDA,80;LOTE;ZONA RURAL;BRUMADO;BA;Diesel S10;3,559;20/03/2019 12:39
16808529000176;POSTO REZENDE;RUA BENJAMIN CONSTANT,461;;ESPLANADA;ARACUAI;MG;Gasolina C Comum;5,48;15/10/2018 15:43
